Code,Name,District,url,GEO,ENV,PHT,BM,CV,CSE,CSBS,IT,AIDS,AIML,CYS,ECO,EEE,ECE,VLSI,MC,MCH,CHE,AE,BT,FH,ID,MS,MI,MF,PP,CC,LT,PT,PD,RA,RP,IB,AT,EI,MT,IC,AP,TT
1516,THANTHAI PERIYAR GOVERNMENT INSTITUTE OF TECHNOLOGY,VELLORE,https://www.tpgit.edu.in/,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,GOVERNMENT COLLEGE OF TECHNOLOGY ,COIMBATORE,https://www.gct.ac.in/,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2369,GOVERNMENT COLLEGE OF ENGINEERING,DHARMAPURI,https://www.gcedpi.edu.in/,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2603,GOVERNMENT COLLEGE OF ENGINEERING,KRISHNAGIRI,https://www.gcebargur.ac.in/,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,GOVERNMENT COLLEGE OF ENGINEERING,SALEM,https://www.gcesalem.edu.in/,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2709,GOVERNMENT COLLEGE OF ENGINEERING,ERODE,https://www.gcee.ac.in/,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3464,GOVERNMENT COLLEGE OF ENGINEERING,THANJAVUR,https://www.gcetj.edu.in/,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3465,GOVERNMENT COLLEGE OF ENGINEERING,TRICHY,https://www.gces.edu.in/,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4974,GOVERNMENT COLLEGE OF ENGINEERING,TIRUNELVELI,https://www.gcetly.ac.in/,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009,GOVERNMENT COLLEGE OF ENGINEERING,THENI,https://www.gcebodi.ac.in/,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
